,mean,lo,hi
2020-07-06,5776.090678771817,-1.0,inf
2020-07-13,6564.012318343871,-1.0,inf
2020-07-20,5367.37572939549,-1.0,inf
2020-07-27,5128.872229397925,-1.0,inf
2020-08-03,4244.2726121928445,-1.0,inf
2020-08-10,4035.1837813300544,-1.0,inf
2020-08-17,3725.5133279857564,-1.0,inf
2020-08-24,4337.155549864986,-1.0,inf
2020-08-31,4042.4342783057828,-1.0,inf
2020-09-07,4080.8236369543843,-1.0,inf
2020-09-14,3804.5846989620427,-1.0,inf
2020-09-21,4320.951807285717,-1.0,inf
2020-09-28,3203.2285289219235,-1.0,inf
2020-10-05,4491.470529523223,-1.0,inf
2020-10-12,3574.5419696120293,-1.0,inf
2020-10-19,4223.943087207818,-1.0,inf
2020-10-26,3687.7439398575902,-1.0,inf
2020-11-02,3459.6885080175584,-1.0,inf
2020-11-09,4292.446806852155,-1.0,inf
2020-11-16,3522.4347336699757,-1.0,inf
2020-11-23,3990.154605418984,-1.0,inf
2020-11-30,4520.84917974715,-1.0,inf
2020-12-07,4191.9853993831985,-1.0,inf
2020-12-14,6799.003901336674,-1.0,inf
2020-12-21,4889.931203280064,-1.0,inf
2020-12-28,3991.4826424227012,-1.0,inf
2021-01-04,5817.6377102546,-1.0,inf
2021-01-11,5381.11201027726,-1.0,inf
2021-01-18,3994.2876490938875,-1.0,inf
2021-01-25,5078.741580186774,-1.0,inf
2021-02-01,4260.7046191203735,-1.0,inf
2021-02-08,4548.322078204979,-1.0,inf
2021-02-15,4063.35799093107,-1.0,inf
2021-02-22,4276.497816010744,-1.0,inf
2021-03-01,3863.158765102113,-1.0,inf
2021-03-08,3767.9569902069156,-1.0,inf
2021-03-15,3937.730476491933,-1.0,inf
2021-03-22,2668.600057157566,-1.0,inf
2021-03-29,2345.722354695584,-1.0,inf
2021-04-05,3054.860997714317,-1.0,inf
2021-04-12,3465.451351576969,-1.0,inf
2021-04-19,3954.3583574747518,-1.0,inf
2021-04-26,2329.848714032135,-1.0,inf
2021-05-03,4040.727649189702,-1.0,inf
2021-05-10,3344.797248087941,-1.0,inf
2021-05-17,4017.16248228172,-1.0,inf
2021-05-24,2874.664777445782,-1.0,inf
2021-05-31,3144.3829948142125,-1.0,inf
2021-06-07,4514.002581936116,-1.0,inf
2021-06-14,3813.895255292853,-1.0,inf
2021-06-21,4505.221968135207,-1.0,inf
2021-06-28,4952.568735698273,-1.0,inf
