,mean,lo,hi
2020-07-06,6019.033541418853,4164.971273598929,8698.244776236794
2020-07-13,6543.647524475783,4483.601644767477,9549.995743312627
2020-07-20,6119.437593488913,4133.421670878036,9059.458588356072
2020-07-27,5687.7536527688935,3794.641300691743,8525.073872152665
2020-08-03,5011.129094940355,3328.0026631440523,7545.235496435999
2020-08-10,4584.76777127216,3034.178464438141,6927.510563193942
2020-08-17,4734.402952426813,3126.408493317027,7169.16698322928
2020-08-24,4898.237834749497,3230.4843700258193,7426.71080190902
2020-08-31,4932.036643322461,3250.0003183263684,7484.342399747853
2020-09-07,5056.406928779257,3330.137013830884,7677.268632321995
2020-09-14,4865.551905733985,3203.275580730414,7390.164353536807
2020-09-21,5054.844272711577,3327.101358444324,7679.523685089585
2020-09-28,4596.3422598391635,3024.782617962248,6984.15343720795
2020-10-05,5135.315014920327,3379.1230761745505,7803.961931254136
2020-10-12,4639.853235903558,3052.8192409446906,7051.650159651869
2020-10-19,4691.400837519466,3086.5589708167213,7130.40245354699
2020-10-26,4857.550475239739,3195.7485403757487,7383.225697551327
2020-11-02,4562.612914237132,3001.596954379693,6935.18329313682
2020-11-09,4777.619629345553,3142.9865285340506,7262.137215989926
2020-11-16,4509.709820581164,2966.6699823833064,6855.053134704455
2020-11-23,4607.474499566652,3030.9515304444526,7003.741665524856
2020-11-30,4854.761292199639,3193.611960223308,7379.682856135097
2020-12-07,4795.251466473795,3154.4366666735705,7289.283583445405
2020-12-14,5730.56488605677,3769.754337800547,8711.006431646936
2020-12-21,5564.7727045495285,3660.6646946270935,8459.038911854374
2020-12-28,4572.687308155618,3007.971627647819,6951.081369120898
2021-01-04,5536.790205507093,3642.233201041762,8416.556238629246
2021-01-11,5392.388789336099,3547.2262339994018,8197.080030581617
2021-01-18,4968.114514435087,3268.097508362153,7552.185242841046
2021-01-25,5377.196113825027,3537.2209295020366,8174.0105533498945
2021-02-01,4900.922236477582,3223.885402427276,7450.068368006995
2021-02-08,5001.888304265542,3290.3064371487244,7603.54605577219
2021-02-15,5054.279512064999,3324.771409836756,7683.187454831277
2021-02-22,4572.0475230876455,3007.518580859878,6950.183144243995
2021-03-01,5122.265466647049,3369.4946626938454,7786.536153746579
2021-03-08,5189.058080767348,3413.434866343072,7888.066254348613
2021-03-15,4654.219611379833,3061.5743595331196,7075.09582203878
2021-03-22,3885.8866971093116,2556.1029970299105,5907.204798052032
2021-03-29,3643.534661608334,2396.6639334224287,5538.822622557835
2021-04-05,3931.2370921394077,2585.936788952162,5976.142006264506
2021-04-12,4565.3353235053655,3003.0961297098356,6939.995689344628
2021-04-19,4770.570644846237,3138.1154899274834,7251.962336624414
2021-04-26,4255.585443545472,2799.317061695026,6469.167212864139
2021-05-03,5020.661098944725,3302.6434509056207,7632.111916403098
2021-05-10,4784.416111986522,3147.2223578387493,7273.0120493208
2021-05-17,5132.965195064194,3376.5247120884746,7802.821103009026
2021-05-24,4598.626973389543,3024.994628574882,6990.60801362576
2021-05-31,4587.623028886069,3017.7548636573197,6973.882775249323
2021-06-07,4710.307651993218,3098.465881979325,7160.369292942556
2021-06-14,4727.60646472025,3109.8458792312526,7186.665338059
2021-06-21,4620.9666522787165,3039.6894028804613,7024.569831150674
2021-06-28,4635.824468633995,3049.463536241273,7047.15543522773
