,0
2020-07-06,7650.338556113826
2020-07-13,8086.7254669437925
2020-07-20,7818.723503738775
2020-07-27,6275.414854436356
2020-08-03,6294.506488035328
2020-08-10,6134.260335828664
2020-08-17,4903.045256818644
2020-08-24,5225.730809067204
2020-08-31,5943.046860937804
2020-09-07,4858.983760556528
2020-09-14,5349.729186157333
2020-09-21,5675.364450019239
2020-09-28,4763.720699962049
2020-10-05,5406.268463433743
2020-10-12,5364.951052058055
2020-10-19,5145.955351376283
2020-10-26,5035.546974230138
2020-11-02,4573.868567270022
2020-11-09,5708.309119802696
2020-11-16,4898.714607360292
2020-11-23,6053.527529706951
2020-11-30,5480.001014234857
2020-12-07,7090.536113825393
2020-12-14,8926.110749246649
2020-12-21,6395.570371488947
2020-12-28,6053.996960302877
2021-01-04,7127.316361357
2021-01-11,7361.528446671411
2021-01-18,6527.181551954325
2021-01-25,7717.679945560713
2021-02-01,7261.238747959468
2021-02-08,7181.63946956495
2021-02-15,7487.699688340497
2021-02-22,6912.425741567833
2021-03-01,6899.438656670963
2021-03-08,6920.750711896765
2021-03-15,5938.558328219477
2021-03-22,5748.293311402264
2021-03-29,4480.706960925816
2021-04-05,5057.077682850296
2021-04-12,6052.048230960099
2021-04-19,6553.527453125233
2021-04-26,4375.464183278143
2021-05-03,6377.02410205877
2021-05-10,5881.1755222828615
2021-05-17,5703.075155998242
2021-05-24,4812.373113779419
2021-05-31,5908.738515320247
2021-06-07,6500.258960854943
2021-06-14,6666.274839337949
2021-06-21,6498.529197447204
2021-06-28,7619.215502426311
