,predicted_mean
2020-07-06,7094.995055963756
2020-07-13,7354.912353416304
2020-07-20,7522.917348806227
2020-07-27,7605.212642068059
2020-08-03,7605.456898080579
2020-08-10,7529.177294037091
2020-08-17,7386.868842008162
2020-08-24,7193.382188880316
2020-08-31,6966.168870130376
2020-09-07,6723.311456166327
2020-09-14,6481.825944306374
2020-09-21,6256.478482030867
2020-09-28,6059.164767208437
2020-10-05,5898.762992536408
2020-10-12,5781.299848473999
2020-10-19,5710.256996529191
2020-10-26,5686.873516635175
2020-11-02,5710.347881581217
2020-11-09,5777.8967854052635
2020-11-16,5884.680765541073
2020-11-23,6023.655583178911
2020-11-30,6185.451213643926
2020-12-07,6358.410449844613
2020-12-14,6528.92468221381
2020-12-21,6682.171455480357
2020-12-28,6803.278773144801
2021-01-04,6878.822457178831
2021-01-11,6898.434712781266
2021-01-18,6856.211148499226
2021-01-25,6751.595746668053
2021-02-01,6589.518918231643
2021-02-08,6379.740638957907
2021-02-15,6135.548706432717
2021-02-22,5872.110087447928
2021-03-01,5604.822559268335
2021-03-08,5347.959352853545
2021-03-15,5113.7763428357675
2021-03-22,4912.1121582411815
2021-03-29,4750.400945300618
2021-04-05,4633.956833549425
2021-04-12,4566.376588977318
2021-04-19,4549.926912507499
2021-04-26,4585.817416786486
2021-05-03,4674.296846917594
2021-05-10,4814.5438328661085
2021-05-17,5004.356157083184
2021-05-24,5239.679065097303
2021-05-31,5514.057104932197
2021-06-07,5818.143074336608
2021-06-14,6139.440314321899
2021-06-21,6462.469836413053
2021-06-28,6769.517067054279
