,lower demanda,upper demanda
2020-07-06,4670.48072375746,9117.248333845808
2020-07-13,4728.780339789761,9251.574587416277
2020-07-20,4515.071578569458,8950.277072934756
2020-07-27,4145.154329438479,8364.123350337213
2020-08-03,3526.9206720374605,7130.136641977198
2020-08-10,3066.9808225970373,6218.105967296305
2020-08-17,2990.221229463013,6072.813970776239
2020-08-24,3115.992292239263,6331.954428421597
2020-08-31,3273.309204342285,6655.038250405245
2020-09-07,3350.3764203324113,6813.658074430323
2020-09-14,3164.0760291988654,6435.8656774297515
2020-09-21,3083.934915662428,6273.611433003633
2020-09-28,2898.379950079685,5896.622777660623
2020-10-05,3151.2039205794317,6411.1935858817715
2020-10-12,3082.7827575943047,6272.2203936895585
2020-10-19,3132.4525533640935,6373.404010990365
2020-10-26,3157.1903982114004,6423.829042694912
2020-11-02,3023.701636141925,6152.336400579026
2020-11-09,3111.784309890369,6331.578223896414
2020-11-16,3093.319721273276,6294.050012668612
2020-11-23,3282.237673592561,6678.410098120556
2020-11-30,3621.5801905740645,7368.789672702831
2020-12-07,3886.597186281236,7907.958641763162
2020-12-14,4489.336295879641,9134.190918171187
2020-12-21,4430.16966469145,9013.832853508296
2020-12-28,3888.249506752174,7911.350544644284
2021-01-04,4238.672704172919,8624.26347454834
2021-01-11,4282.37946957101,8713.186494975283
2021-01-18,4255.022777476564,8657.535839976386
2021-01-25,4438.757425795932,9031.332954655603
2021-02-01,4022.909677016859,8185.326782308248
2021-02-08,3834.947451818064,7802.934976853006
2021-02-15,3799.3457293951915,7730.508320925059
2021-02-22,3719.2902852172588,7567.643795848236
2021-03-01,4020.343652388413,8180.115769198615
2021-03-08,3851.596997613484,7836.8155525993925
2021-03-15,3257.105604743395,6627.36961595634
2021-03-22,2665.5711160287083,5423.938670753698
2021-03-29,2482.4918090923193,5051.478729147504
2021-04-05,2679.0556102731016,5451.3743468329485
2021-04-12,3088.541144483553,6284.443703174311
2021-04-19,3308.535370215833,6732.007238709222
2021-04-26,3157.5798830956523,6424.900785376245
2021-05-03,3419.836035553977,6958.443370300223
2021-05-10,3278.548578353215,6671.005733943474
2021-05-17,3340.955124127083,6797.968859881002
2021-05-24,3141.919778386573,6393.047079028197
2021-05-31,3237.2552760048648,6587.001825037042
2021-06-07,3509.747467807053,7141.369526128506
2021-06-14,3774.3840980071636,7679.755877023205
2021-06-21,3869.751238495458,7873.775405920425
2021-06-28,3848.4692189122343,7830.480327391367
